title,isPartOf,pageCount,publicationYear,docSubType
M.G. Smith on the Isle of Lesbos: Kinship and Sexuality in Carriacou,NWIG: New West Indian Guide / Nieuwe West-Indische Gids,21,2013,research-article
A Century of Families under Supervision in the Netherlands,The British Journal of Social Work,20,1992,research-article
Vigilantism as Community Social Control: Developing a Quantitative Criminological Model,Journal of Quantitative Criminology,17,1988,research-article
the teacher: a man for all seasons,California Journal of Teacher Education,14,1973,research-article
Summaries,Meridiana,6,2010,misc
"Parenthood, Marital Status, and Well-Being in Later Life: Evidence from SHARE",Social Indicators Research,15,2013,research-article
Forced migration in the United Kingdom: women's journeys to escape domestic violence,Transactions of the Institute of British Geographers,14,2015,research-article
The Course of Empire and the Long Road to Civilization: North American Indians and Scottish Enlightenment Historians,Explorations in Early American Culture,25,2000,research-article
"FROM ""BALCONY TALK"" AND ""PRACTICAL PRAYERS"" TO ILLEGAL COLLECTIVES: Migrant Domestic Workers and Meso-Level Resistances in Lebanon",Gender and Society,24,2012,research-article
The Development of the Good Relations Measurement Framework in Britain: A Template for Experiential Social Measurement,Social Indicators Research,32,2013,research-article
"Who Was the Real Gus Coggins?: Social Struggle and Criminal Mystery in Cherokee County, 1912–1927",The Georgia Historical Quarterly,36,2013,research-article
Marital Power Structure in Two Chinese Societies: Measurement and Mechanisms,Journal of Comparative Family Studies,19,2014,research-article
"Thoreau in the Town School, 1837",The Concord Saunterer,23,1996,research-article
Interview with Rhacel Salazar Parreñas,Social Thought & Research,8,2007,research-article
Validator: A Key Role in Empowering the Chronically Mentally Ill,Social Work,3,1990,research-article
The connection between trust and leadership styles in Slovene organizations,Journal of East European Management Studies,25,2010,research-article
Constructions of Islamic Identities in a Suburban Community in Malaysia,Southeast Asian Journal of Social Science,14,1997,research-article
FAMILY MATTERS,The British Journal of Social Work,4,1998,book-review
"Rations, coexistence, and the colonisation of Aboriginal labour in the South Australian pastoral industry, 1860–1911",Aboriginal History,26,2000,research-article
Review Article,The British Journal of Social Work,3,1983,book-review
[SUMMARIES],Megamot / מגמות,7,1982,misc
Farm Wages in Central Scotland from 1814 to 1870,Journal of the Royal Statistical Society. Series A (General),5,1955,research-article
Review Article,Social Science Japan Journal,4,2012,book-review
Harnessing Positive Peer Pressure to Create Atruism,Social Research,20,2013,research-article
'MONEY-DOUBLING' IN THE GOLD COAST: With Some Cross-Cultural Comparisons,The British Journal of Delinquency,11,1958,research-article
PREFACE,Philippine Sociological Review,4,2005,misc
Global shopping mall and global city slum,Teaching Geography,3,1997,research-article
Jewish Publication Society of America: REPORT OF THE SIXTY-FIRST YEAR,The American Jewish Year Book,16,1950,misc
"THE TRANSFORMATION OF BASSA IN THE NIGER-BENUE CONFLUENCE OF NORTH CENTRAL NIGERIA, 1800-1960",Journal of the Historical Society of Nigeria,19,2014,research-article
Review Article,Cambridge Anthropology,10,1983,book-review
Gerry Black's Jewish CV,Jewish Historical Studies,6,2013,research-article
"""Displaying the Ensigns of Harmony"": The French Army in Newport, Rhode Island, 1780-1781",The New England Quarterly,38,2012,research-article
Plots and Plotholders in Dublin 1909-1950,Dublin Historical Record,9,2013,research-article
The Impact of Social and Economic Indicators on Maternal and Child Health,Social Indicators Research,23,2014,research-article
Mountain Masters: Slaveholding in Western North Carolina,The North Carolina Historical Review,31,1984,research-article
"MAKING SENSE OF DISASTER: Towards a Contextual, Phase-Based Understanding of Organizationally Based Acute Civilian Disasters",The British Journal of Criminology,23,2013,research-article
Rationality and Advancing Standards and Levels of Living - - A Theoretical Model on Socio-Cultural Change,Philippine Sociological Review,6,1964,research-article
"The Motives of Foster Parents, Their Family and Work Circumstances",The British Journal of Social Work,14,2001,research-article
Inspiring Leaders: Unique Museum Programs Reinforce Professional Responsibility,The Journal of Museum Education,12,2011,research-article
TRIBE AND FAMILY,Tradition: A Journal of Orthodox Jewish Thought,6,1965,research-article
The Concept of Honour: Caste Ideology and Patriarchy in Rural Maharashtra,Economic and Political Weekly,10,2013,research-article
HISTORY AT THE UNIVERSITIES 1968 A COMMENTARY,History,24,1968,research-article
Review Article,Comparative Studies in Society and History,3,2012,book-review
Review Article,The British Journal of Social Work,2,1986,book-review
BLOOD FEUD IN TURKEY: A Sociological Analysis,The British Journal of Criminology,6,1994,research-article
"Chelewa, Chelewa The Dilemma of Teenage Girls",Africa Development / Afrique et Développement,6,1995,book-review
Group care for children: guidelines for planning,Social Work,11,1972,research-article
"Coroners' Inquisitions on the Deaths of Prisoners in the Hulks at Portsmouth, England, in 1817–27",Journal of the History of Medicine and Allied Sciences,11,1978,research-article
Review Article,Journal of the Early Republic,4,2012,book-review
Review Article,Journal of World History,4,2012,book-review
CONSULTATION PATTERNS: THEIR RELATION TO SOCIAL COHESION AMONG PUBLIC SCHOOL TEACHERS,The Kansas Journal of Sociology,9,1970,research-article
Men of Concord Petition the Governor,The Concord Saunterer,6,1980,research-article
Exploring Ambivalence in Family Ties: Progress and Prospects,Journal of Marriage and Family,19,2015,research-article
"SOCIAL PLANNING COUNCILS, SOCIAL INDICATORS, AND CHILD WELL-BEING",Practicing Anthropology,4,1996,research-article
Dangerous dads? Ecological and longitudinal analyses of paternity leave and risk for child injury,Journal of Epidemiology and Community Health (1979-),4,2012,research-article
Financial Well-Being of Young Children with Disabilities and Their Families,Social Work,10,2006,research-article
"Ubuntu in S. M. Kapwepwe's ""Shalapo Canicandala"": Insights for Afrocentric Psychology",Journal of Black Studies,21,2013,research-article
Literature Review: Collaboration and Co-ordination Between Welfare Agencies,The British Journal of Social Work,13,1988,research-article
From Mashhad to New York: Family and Gender Roles in the Mashhadi Immigrant Community,American Jewish History,26,2007,research-article
Rethinking Family Support in the Current Policy Context,The British Journal of Social Work,15,2006,research-article
GIVING BACK: PRO BONO IMMIGRATION WORK,GPSolo,2,2014,misc
"'We could have had the old girl out in the paddock years ago': widowed women, farming and agricultural leadership","Work, Employment & Society",12,2003,research-article
Psychosocial Problems of Job Relocation: Preventive Roles in Industry,Social Work,4,1988,research-article
Foreign Families in the Italian Context: Migration Processes and Strategies,Journal of Comparative Family Studies,12,2014,research-article
Review Article,The British Journal of Social Work,3,1973,book-review
Reflections on a Cross-National Qualitative Study of Within-Household Finances,Journal of Marriage and Family,11,2013,research-article
An Anti-Poverty Exploration Project: A Suggestion for Non-Reservation Indian Communities,Journal of American Indian Education,9,1965,research-article
ABSTRACTS,Israeli Sociology / סוציולוגיה ישראלית,4,2010,misc
SOME SOCIAL ASPECTS OF ABORIGINAL AMERICAN SLAVERY,Journal de la Société des américanistes,6,1927,research-article
THE PRIMA FACIE CASE AGAINST HOMESCHOOLING,Public Affairs Quarterly,19,2011,research-article
THE OPENING STAGES OF CRIMINAL JUSTICE POLICY MAKING,The British Journal of Criminology,16,1995,research-article
Shaping Morally Responsible Leaders: Infusing Civic Engagement into Business Ethics Courses,Journal of Business Ethics,13,2016,research-article
There Is A Way to Make Ethical Decisions in the Classroom,Beyond Behavior,8,2004,research-article
Child abuse: an emerging social priority,Social Work,4,1978,research-article
"John Reginald Hugh Shaul, 1897-1963",Journal of the Royal Statistical Society. Series A (General),3,1964,news
Family Group Conferences: User Empowerment or Family Self-Reliance?—a development from Lupton,The British Journal of Social Work,10,1999,research-article
A More Inclusive Global Governance? The IMF and Civil Society in Africa,Global Governance,22,2012,research-article
Twenty-five Years of Professional Education for Social Work—and a Look Ahead,The Compass,6,1946,research-article
Literacy and life skills education for vulnerable youth: What policy makers can do,International Review of Education / Internationale Zeitschrift für Erziehungswissenschaft / Revue Internationale de l'Education,10,2014,research-article
Toilet Training: The Meanings of Bathroom Scenes in School Movies,The Journal of Educational Thought (JET) / Revue de la Pensée Éducative,18,2010,research-article
תקצירים באנגלית / ABSTRACTS,Gerontology & Geriatrics / גרונטולוגיה וגריאטריה,5,2014,misc
"On Fatherhood, Masculinities, and Family Policies in Poland and Sweden—a Comparative Study",Polish Sociological Review,16,2014,research-article
Review Article,Korean Studies,3,1987,book-review
"Veiling, Secularism and Islamism: Gender Constructions in France and Iran",Journal for the Study of Religion,19,2007,research-article
Winds of Change in Haitian Education,Negro History Bulletin,4,1969,research-article
FROM THE EDITOR,Political and Legal Anthropology Review,3,1993,misc
The Research and Training Center on Family Support and Children's Mental Health,Beyond Behavior,2,2002,research-article
PSYCHIATRIC SOCIAL WORK SECTION: Impact of Setting upon Social Workers and Patients,Social Work,7,1957,research-article
"Protecting Children, Preserving Families: Moral Conflict and Actuarial Science in a Problem of Contemporary Governance",Political and Legal Anthropology Review,18,2011,research-article
PREREQUISITES OF AN ADEQUATE THEORY OF AGING: A CRITIQUE AND RECONCEPTUALIZATION,Mid-American Review of Sociology,30,1984,research-article
"School disciplines, social representations, and the construction of the didactics of history, geography, and civics",Instructional Science,21,1999,research-article
Women in Colonial North Carolina: Overlooked and Underestimated,The North Carolina Historical Review,22,1981,research-article
WASHINGTON WATCH,Practicing Anthropology,2,1992,research-article
Review Article,"Bulletin of the School of Oriental and African Studies, University of London",3,2014,book-review
Contextualization Is Not Antagonistic to Theorization,International Journal of Middle East Studies,3,2012,research-article
Someone who Treats you as an Ordinary Human Being... Homeless Youth Examine the Quality of Professional Care,The British Journal of Social Work,13,2003,research-article
"Social Work, Individualization and Life Politics",The British Journal of Social Work,15,2001,research-article
"Regional Variations in Suicide Rates — United States, 1990–1994",Morbidity and Mortality Weekly Report,5,1997,research-article
Organizing for Society: A Typology of Social Entrepreneuring Models,Journal of Business Ethics,21,2012,research-article
REFRACTIONS: Founding Societies,ASEE Prism,1,2008,research-article
The Body Politic: Theorising Disability and Impairment,Journal of Applied Philosophy,8,2007,research-article
"The Disappearance of the Irish Agricultural Labourer, 1841-1912",Irish Economic and Social History,27,1980,research-article
Alcoholism Halfway Houses: Relationships to Other Programs and Facilities,Social Work,11,1969,research-article
"THEORIZING INEQUALITY: Comparative Policy Regimes, Gender, and Everyday Lives",The Sociological Quarterly,15,2013,research-article
A Child's Right to Play: The Social Construction of Civic Virtues in Toy Libraries,Journal of Public Policy & Marketing,15,2011,research-article
Parental Employment and Child Care Trends: Some Critical Issues and Suggested Policies,Social Work,10,1993,research-article
The Family as the Unit of Treatment: A Case Record,The British Journal of Social Work,17,1983,research-article
"Understanding Social Networks to Improve Adaptive Co-Governance with the ≠Khomani Bushmen of the Kalahari, South Africa",Human Ecology,12,2015,research-article
Five Principles of Correctional Education,Journal of Correctional Education,6,1988,research-article
"Residential proximity of parents and their adult offspring in the United Kingdom, 2009–10",Population Studies,18,2015,research-article
The Chinese Family and Gender Roles in Transition,China Review,18,1993,research-article
Review Article,Canadian Public Policy / Analyse de Politiques,3,2013,book-review
"The Length of Working Life: India, 1971",Journal of the Royal Statistical Society. Series A (General),7,1977,research-article
By What Disease or Casualty: The Changing Face of Death in London,Journal of the History of Medicine and Allied Sciences,26,1976,research-article
שער קדמי,Gerontology / גרונטולוגיה,13,2003,misc
Case Management and the Integration of Services: How Service Delivery Systems Shape Case Management,Social Work,6,1992,research-article
Longitudinal Criminology,Journal of Quantitative Criminology,7,2010,research-article
"Is There a ""Breakdown"" of the Negro Family?",Social Work,8,1966,research-article
Social work with the aged: principles of practice,Social Work,8,1981,research-article
"HUMAN EVOLUTION, HISTORY AND VIOLENCE: An Introduction",The British Journal of Criminology,6,2011,research-article
"""ONCE YOU'VE EATEN KHITROV SOUP YOU'LL NEVER LEAVE!"": SLUM RENOVATION IN LATE IMPERIAL RUSSIA",Russian History,28,1984,research-article
"Portuguese Jews, Amerindians, and the Frontiers of Encounter in Colonial Suriname",NWIG: New West Indian Guide / Nieuwe West-Indische Gids,35,2014,research-article
Review Article,Journal of the Hong Kong Branch of the Royal Asiatic Society,6,1971,book-review
'Animals Just Love You as You Are': Experiencing Kinship across the Species Barrier,Sociology,16,2014,research-article
"Diversity in American Biology, 1900-1940",History and Philosophy of the Life Sciences,18,1999,research-article
"HOUSING PROJECTS IN THE NOMADIC AREAS OF CHINA'S EASTERN TIBETAN PLATEAU: REPRESENTATION, MARKET LOGIC, AND GOVERNMENTALITY",Nomadic Peoples,20,2015,research-article
Front Matter,The Journal of Finance,11,1960,misc
Review Article,Sociologisk Forskning,4,2013,book-review
Militarized Masculinities in International Relations,The Brown Journal of World Affairs,13,2014,research-article
"BLACK MARRIAGE, WHITE PEOPLE, RED HERRINGS",Michigan Law Review,23,2013,book-review
Review Article,China Review International,3,1997,book-review
Review Article,Journal of Comparative Family Studies,2,2012,book-review
Review Article,Labour / Le Travail,3,2012,book-review
"THE SUSPICIOUS, UNTRUSTING HILLBILLY IN POLITICAL-ECONOMIC CONTEXTS: STEREOTYPES AND SOCIAL TRUST IN THE APPALACHIAN COALFIELDS",Practicing Anthropology,5,2014,research-article
Review Article,Social Work,2,1994,book-review
"WORK, FAMILY AND CRIMINAL DESISTANCE: Adult Social Bonds in a Nordic Welfare State",The British Journal of Criminology,20,2009,research-article
THE REGULATION RECONSIDERED: SHARED GRIEVANCES IN THE COLONIAL CAROLINAS,The South Carolina Historical Magazine,23,2013,research-article
SORCERY AND SOCIAL CHANGE IN MENDI,Social Analysis: The International Journal of Social and Cultural Practice,13,1981,research-article
The case for involving children in child welfare decisions,Social Work,6,1982,research-article
Financial Transfers Between Adult Children and Parents in Migrant Families From The Former Soviet Union,Journal of Comparative Family Studies,14,2013,research-article
"DOMESTIC SERVANTS IN DUBLIN, 1880-1920 (Ph.D. Trinity College, Dublin 1984)",Irish Economic and Social History,2,1986,research-article
"PARTNERS, NEIGHBORS, AND FRIENDS: THE PRACTICE OF A PLACE-BASED EDUCATION",Practicing Anthropology,5,2001,research-article
Territorial disputes and the politics of individual well-being,Journal of Peace Research,14,2013,research-article
Why are Virgin Adolescents Worried about Contracting HIV/AIDS? Evidence from Four Sub-Saharan African Countries,African Journal of Reproductive Health / La Revue Africaine de la Santé Reproductive,19,2013,research-article
RESEARCH INTO DETENTION CENTRES,The British Journal of Criminology,10,1969,research-article
Review Article,Contemporary Sociology,3,2013,book-review
Report on the International Conference on 'Habitat Agenda and Human Settlements in South and South-East Asia in 21st Century',Sociological Bulletin,5,2000,misc
Review Article,The British Journal of Social Work,3,1986,book-review
Jewish Proletarians in the New South: The Durham Cigarette Rollers,American Jewish History,17,1994,research-article
Review Article,Southeast Asian Journal of Social Science,5,1979,book-review
Review Article,The North Carolina Historical Review,4,1948,book-review
"Traces of castes and other social strata in the Maldives: A case study of social stratification in a diachronic perspective (Ethnographic, historic, and linguistic evidence)",Zeitschrift für Ethnologie,15,2014,research-article
Measuring Networks beyond the Origin Family,The Annals of the American Academy of Political and Social Science,11,2015,research-article
High Thresholds and Prevention in Children's Services: The Impact of Mothers' Coping Strategies on Outcome of Child and Parenting Problems—Six Month Follow-Up,The British Journal of Social Work,18,2009,research-article
Review Article,Nomadic Peoples,4,2016,book-review
Beyond l'Auberge Espagnole: The Effect of Individual Mobility on the Formation of Intra-European Couples,European Journal of Population / Revue Européenne de Démographie,26,2015,research-article
What We Don't Know About the Ghetto,Business Economics,3,1969,research-article
Dual-Earner Couples in Britain and France: Gender Divisions of Domestic Labour and Parenting Work in Different Welfare States,"Work, Employment & Society",22,2001,research-article
CAREER LADDER REFORMS,Teacher Education Quarterly,9,1986,research-article
Asset Impacts on Life Satisfaction in an Asset-Rich Country: Focusing on Older Adults in Singapore,Social Indicators Research,16,2014,research-article
Periodical Returns,Journal of the Royal Statistical Society. Series A (General),5,1957,misc
The Social and Ecological Trajectory of Prehistoric Cambodian Earthworks,Asian Perspectives,20,2013,research-article
INTRODUCTION: Visiting the Issue of Uncertainty in Contemporary African Lives: An Introduction,African Sociological Review / Revue Africaine de Sociologie,10,2004,research-article
Shared Family Care: Child Protection and Family Preservation,Social Work,10,1994,research-article
editorial page: An Initial Agenda for Family Policy,Social Work,4,1979,misc
THE CHILD WELFARE SYSTEM'S RACIAL HARM,Nomos,36,2003,research-article
"Defining disease, segregating race: Sir Raphael Cilento, Aboriginal health and leprosy management in twentieth century Queensland",Aboriginal History,30,2010,research-article
"'FOR THEIR OWN BENEFIT'? A CRITICAL OVERVIEW OF ABORIGINAL POLICY AND PRACTICE AT MOOLA BULLA, EAST KIMBERLEY, 1910-1955",Aboriginal History,24,1990,research-article
Review Article,Contemporary Sociology,3,2013,book-review
Incarceration and Social Inequality: Challenges and Directions for Future Research,The Annals of the American Academy of Political and Social Science,5,2014,research-article
Lessons from a Merger in Poland,Journal of East European Management Studies,17,2003,research-article
Living Apart Relationships in Contemporary Europe: Accounts of Togetherness and Apartness,Sociology,17,2014,research-article
The Influence of Child Protection Orientation on Child Welfare Practice,The British Journal of Social Work,22,2001,research-article
PRESIDENTIAL ADDRESS: WHAT OF THE FUTURE,Proceedings of the Association of Official Seed Analysts of North America,3,1937,research-article
Poor Women and the Boston Almshouse in the Early Republic,Journal of the Early Republic,33,2012,research-article
Muscovite Slavery in Comparative Perspective,Russian History,77,1979,research-article
A CHANGING DOMESTIC DIVISION OF LABOUR? ISSUES OF MEASUREMENT AND INTERPRETATION,"Work, Employment & Society",23,1993,research-article
Working with Women: Building a Policy and Practice Agenda,Social Work,8,1992,research-article
Review Article,The British Journal of Social Work,3,1996,book-review
"The New York Naval Stores Project and the Transformation of the Poor Palatines, 1710–1712",New York History,25,1994,research-article
"Attitudes Towards Women's Rights to Inheritance in District Lakki Marwat, Pakistan",The Pakistan Development Review,21,2012,research-article
"ON THE WRONG SIDE OF ALLEN STREET: The Businesswomen of Tombstone, 1878–1884",The Journal of Arizona History,22,2014,research-article
"On HIV, Sex and Respect: Local-Global Discourse Encounters among the Datoga of Tanzania",African Sociological Review / Revue Africaine de Sociologie,20,2004,research-article
Reciprocity as a trigger of social cooperation in contemporary immigration societies?,Acta Sociologica,16,2015,research-article
Links Between Demographic and Kinship Transitions,Population and Development Review,20,2015,research-article
Review Article,Political and Legal Anthropology Review,4,2010,book-review
Ethnic Networks and Illegal Immigration,Sociological Focus,15,2013,research-article
Reflecting on Our Interconnectedness: MLK offers insight into 'justice for all',ABA Journal,2,2016,research-article
WOMEN'S CHANGING PLACE IN JEWISH PHILANTHROPY,Contemporary Jewry,16,1997,research-article
"""For a Child's Sake"": The Denver Sheltering Home for Jewish Children in the Progressive Era",American Jewish History,22,1989,research-article
Sociology contra government? The contest for the meaning of unemployment in UK policy debates,"Work, Employment & Society",17,2008,research-article
Review Article,American Journal of Agricultural Economics,4,2012,book-review
"Emotions, Violence and Social Belonging: An Eliasian Analysis of Sports Spectatorship",Sociology,16,2014,research-article
Annual List of Additions to the Library,Journal of the Royal Statistical Society,7,1921,misc
Married Women and Economic Choice: Explaining Why Women Started Businesses in San Francisco between 1890 and 1930,Business and Economic History,14,1999,research-article
Current Notes,Journal of the Royal Statistical Society,8,1912,news
Review Article,"Crime, Histoire & Sociétés / Crime, History & Societies",4,2014,book-review
Dynamics of Family and Elderly Living Arrangements in China: New Lessons Learned from the 2000 Census,China Review,25,2003,research-article
'Happy in Holland': The Hindostani Elders in The Netherlands,Sociological Bulletin,19,2013,research-article
Children's Policy and Women's Policy: Congruence or Conflict?,Social Work,4,1987,research-article
Impact of Policy on the Family: Can the Family Be Strengthened by Legislation?,Southeast Asian Journal of Social Science,21,1981,research-article
"The Rascal Road: Crime, Prestige, and Development in Papua New Guinea",The Contemporary Pacific,26,1995,research-article
Lessons Learned From Teaching the Affordable Care Act of 2010,Journal of Public Affairs Education,8,2014,research-article
Review Article,Inner Asia,3,2009,book-review
"CHIEFTAINSHIP, TRADITION AND CHANGE IN NGONI SOCIETY",Cambridge Anthropology,24,1999,research-article
The Work of Invisibility: Radiation Hazards and Occupational Health in South African Uranium Production,International Labor and Working-Class History,20,2012,research-article
Training for Welfare Services in Undeveloped Areas,Social Work Journal,9,1949,research-article
"THE SALT INDUSTRY OF CLAY COUNTY, KENTUCKY; THE WHITES OF CLAY COUNTY AS SALT MAKERS",The Register of the Kentucky Historical Society,14,1952,research-article
THE ABSENT FATHER AND CROSS-SEX IDENTITY,Merrill-Palmer Quarterly of Behavior and Development,11,1961,research-article
Report of the 74th Annual Meeting,American Jewish Historical Quarterly,8,1976,misc
"Multiethnic Children, Youth, and Families: Emerging Challenges to the Behavioral Sciences and Public Policy",Family Relations,4,2013,misc
The Perfect Food and the Filth Disease: Milk-borne Typhoid and Epidemiological Practice in Late Victorian Britain,Journal of the History of Medicine and Allied Sciences,32,2010,research-article
Transcultural Communication and Social Order: Comparisons in Upland Southeast Asia,Asian Ethnology,21,2013,research-article
Young People as Competent Community Builders: A Challenge to Social Work,Social Work,11,1998,research-article
DETERMINANTS OF DOMESTIC VIOLENCE: A Cross-National Study,International Journal of Sociology of the Family,21,2009,research-article
Review Article,African American Review,2,2013,book-review
INFORMATION FLOW PATTERNS IN VILLAGES OF RURAL MALAYSIA,Southeast Asian Journal of Social Science,22,1976,research-article
Gender Pluralism: Muslim Southeast Asia since Early Modern Times,Social Research,28,2011,research-article
Primary and Secondary Social Services,The British Journal of Social Work,15,1981,research-article
NEGOTIATING PARTICIPATORY ACTION RESEARCH IN AN ECUADORIAN SUSTAINABLE AGRICULTURE AND NATURAL RESOURCE MANAGEMENT PROGRAM,Practicing Anthropology,6,1997,research-article
Labor Regulation as Family Regulation: Decent Work and Decent Families,Berkeley Journal of Employment and Labor Law,33,2012,research-article
תקצירים באנגלית / SUMMARIES,Megamot / מגמות,5,1971,misc
"JEWISH COMMUNITY IN WICHITA, 1920-1970: SAME WAGON, NEW HORSES",Great Plains Quarterly,28,2008,research-article
Students' choices in Portuguese higher education: influences and motivations,European Journal of Psychology of Education,15,2013,research-article
A new friend in the class,Teaching Geography,3,2004,research-article
"Islam, Assisted Reproduction, and the Bioethical Aftermath",Journal of Religion and Health,9,2016,research-article
Review Article,Labour / Le Travail,3,2013,book-review
The Family in Modern Life,International Journal of Ethics,16,1928,research-article
"A Long Way From Home? Race, Community, Educational Opportunity, and Residential Choice",Journal of Black Studies,28,2014,research-article
A GEORGIA PLANTER AND HIS PLANTATIONS 1837-1861,The North Carolina Historical Review,24,1938,research-article
Family Fundamentals,Merrill-Palmer Quarterly of Behavior and Development,5,1967,book-review
SITTING AND STANDING: HOW FAMILIES ARE FIXING TRUST IN UNCERTAIN TIMES,Africa: Journal of the International African Institute,20,2012,research-article
"Making Sense of HIV in Southeastern Nigeria: Fictional Narratives, Cultural Meanings, and Methodologies in Medical Anthropology",Medical Anthropology Quarterly,22,2013,research-article
Child Labor,Monthly Labor Review,20,1937,research-article
Agricultural enterprise: An investment that benefits all,Spore,1,2008,research-article
"The indigenous worker: hometowner, striver, or activist",Social Work,7,1972,research-article
מדעי המדינה היהודיים כתחום מחקרי / JEWISH POLITICAL STUDIES AS A FIELD OF INQUIRY,Proceedings of the World Congress of Jewish Studies / דברי הקונגרס העולמי למדעי היהדות,18,1973,research-article
SUMMARIES,Megamot / מגמות,7,1999,misc
"Reflections on #Occupy Everywhere: Social media, public space, and emerging logics of aggregation",American Ethnologist,21,2012,research-article
(Dis)Empowering Education: The Case Of Morocco,Urban Anthropology and Studies of Cultural Systems and World Economic Development,42,2015,research-article
The Violent Practices of Youth Territorial Groups in Moscow,Europe-Asia Studies,22,2012,research-article
Bureaucratic Theory and Comparative Administration,Administrative Science Quarterly,17,1959,research-article
Austin MacCormic and the Education of Adult Prisoners: Still Relevant Today,Journal of Correctional Education,6,1997,research-article
THE SNOWBALL STATE AND THE PERILS OF OBLIVION,The Cambridge Journal of Anthropology,5,2011,research-article
Measuring Differences in Living Standards Within Households,Journal of Marriage and Family,13,2013,research-article
Epic Learning in an Indian Pueblo: A Framework for Studying Multigenerational Learning in the History of Education,History of Education Quarterly,17,2014,research-article
The New Immigration: A Labor Response,In Defense of the Alien,8,1980,research-article
Historical Research on Cultural Life Scripts. An Exploration of Opportunities and Future Prospects,Historical Social Research / Historische Sozialforschung,12,2014,research-article
APPROVED SCHOOLS AND ATTITUDE CHANGE,The British Journal of Criminology,9,1973,research-article
"Ernest Wende and Buffalo's Transition to Modern Public Health Policy, 1892–1910",New York History,25,2009,research-article
Conclusion,Southeast Asian Journal of Social Science,16,1996,research-article
A Conceptual Framework for the Social Analysis of Reproductive Health,"Journal of Health, Population and Nutrition",13,2007,research-article
Self-Help Organizations and Volunteer Participation in Social Welfare,Social Work,10,1970,research-article
"The world society perspective: concepts, assumptions, and strategies",Comparative Education,17,2012,research-article
Patterns of Length of Stay After Admission in Geriatric Medicine: An Event History Approach,Journal of the Royal Statistical Society. Series D (The Statistician),12,1993,research-article
Professional Women and the Women's Movement in West Germany,German Politics & Society,6,1991,research-article
What Was Politics to the Denisovan?,Political Theory,21,2014,research-article
Vada Webb Sheid and the Transformation of North Central Arkansas,The Arkansas Historical Quarterly,24,2014,research-article
'The quiet revolution'? trade union learning and renewal strategies,"Work, Employment & Society",8,2004,research-article
The Social Policy Contexts of Prevention in Child Care,The British Journal of Social Work,19,1991,research-article
Comparing British and American Approaches to the Human Right to Transportation,Human Rights,2,2007,research-article
THE CHANGING PROFILE OF SOCIAL DEATH,European Journal of Sociology / Archives Européennes de Sociologie / Europäisches Archiv für Soziologie,25,1991,research-article
Some Notes on the Census of Occupations for England and Wales,Journal of the Royal Statistical Society,27,1915,research-article
Centers of Identity in the Modern City,Social Work,10,1965,research-article
"The Forgetting of John Montgomery: Spanaway's First White Settler, 1845-1885",The Pacific Northwest Quarterly,16,2010,research-article
FORMER REFUGEES AND COMMUNITY RESILIENCE: 'Papering Over' Domestic Violence,The British Journal of Criminology,18,2013,research-article
Children's Centres and Parental Engagement: Lessons from the English Experience,Sozialer Fortschritt,5,2010,research-article
Demographic Trends in Israel and Palestine: Prospects and Policy Implications,The American Jewish Year Book,66,2003,research-article
Back Matter,Ethnicities,6,2005,misc
The Building of Democratic Organizations: An Embryological Metaphor,Administrative Science Quarterly,24,1982,research-article
שער קדמי,Megamot / מגמות,12,1978,misc
Farmworker Cultural Aspects and Access to Health Care,In Defense of the Alien,6,1991,research-article
Youth in Techno Global World: Predicaments and Choices,Sociological Bulletin,15,2012,research-article
Life in the New China,The Brown Journal of World Affairs,7,1994,research-article
"Names, Places, and Power: Collective Identity in the Miss Oruro Pageant, Cochabamba, Bolivia",Political and Legal Anthropology Review,24,2000,research-article
Review Article,Sociological Bulletin,4,1994,book-review
The Business of Education,Conservation Biology,3,1992,research-article
From Lawyer's Law into the Academic Zoo,Political and Legal Anthropology Review,5,1999,research-article
The Case for a Community Service Center,Social Work Journal,5,1955,research-article
WOMEN IN THE INTERNATIONAL WORLD,Journal of International Affairs,10,1976,research-article
"young, isolated, and black",Contexts,3,2005,book-review
Pedro de Perea and the Colonization of Sonora,Journal of the Southwest,54,2011,research-article
ON MIGRATING TO CANADA : THE FIRST GENERATION INDIAN AND PAKISTANI FAMILIES IN THE PROCESS OF CHANGE,Sociological Bulletin,24,1977,research-article
"Order in Informal Settlements: A Case Study of Pinar, Istanbul",Built Environment (1978-),15,2011,research-article
GUEST EDITORIAL: Spiritual Well-Being and the Quality of Life Movement: A New Arena for Church-State Debate?,Journal of Church and State,23,1978,research-article
ADAPTATION: A KEY TO ORGANIZATIONAL HEALTH,Research Management,4,1984,research-article
Mentoring Matters: Preparing Beginning Teachers for Hard Conversations,The English Journal,4,2013,research-article
Two Comments by Community Care Workers,British Journal of Psychiatric Social Work,2,1965,research-article
Review Article,Political and Legal Anthropology Review,3,2006,book-review
BOOK REVIEW ARTICLE: SOCIAL COMPLEXITY IN THE ARCHAEOLOGICAL RECORD,The South African Archaeological Bulletin,4,2013,book-review
"""Keep it simple, stupid"" sometimes is too simple",The Phi Delta Kappan,2,2015,research-article
Evaluation as Practical Judgment,Human Studies,23,2015,research-article
Back Matter,The British Journal of Criminology,7,1996,misc
HONG KONG IN THE 1950s AND '60s: REMINISCENCES,Journal of the Hong Kong Branch of the Royal Asiatic Society,21,2002,research-article
